playerID,year,contractSalary,contractCreateDate,contractExpireDate,year_signed,contract_years
00-0038414,2025,0.979446,2023-03-01,2027-03-01,2023,4
00-0036369,2022,0.207,2022-03-01,2023-03-01,2022,1
00-0034348,2021,1.710483,2018-03-01,2022-03-01,2018,4
00-0027325,2015,1.925,2014-03-01,2016-03-01,2014,2
00-0028066,2011,0.607875,2011-03-01,2015-03-01,2011,4
00-0032062,2018,0.696283,2015-03-01,2019-03-01,2015,4
00-0037843,2023,0.939926,2022-03-01,2026-03-01,2022,4
00-0032366,2021,3.575,2020-03-01,2022-03-01,2020,2
00-0026195,2016,7.0,2012-03-01,2017-03-01,2012,5
00-0038521,2024,0.9,2023-03-01,2026-03-01,2023,3
00-0031181,2015,0.605125,2014-03-01,2018-03-01,2014,4
00-0033779,2021,0.8475,2020-03-01,2022-03-01,2020,2
00-0033538,2017,2.758034,2017-03-01,2021-03-01,2017,4
00-0026983,2010,7.65,2009-03-01,2014-03-01,2009,5
00-0035685,2025,6.0,2023-03-01,2026-03-01,2023,3
00-0028144,2015,0.745,2015-03-01,2016-03-01,2015,1
00-0031287,2017,0.615,2017-03-01,2018-03-01,2017,1
00-0024227,2007,2.38,2006-03-01,2011-03-01,2006,5
00-0034406,2019,0.54,2019-03-01,2021-03-01,2019,2
00-0028895,1,0.48,,0003-03-01,0,3
00-0032765,2021,19.25,2019-03-01,2024-03-01,2019,5
00-0028181,2013,0.521475,2011-03-01,2015-03-01,2011,4
00-0032129,2020,8.5,2019-03-01,2023-03-01,2019,4
00-0033688,2018,0.525,2018-03-01,2020-03-01,2018,2
00-0039042,2025,0.981773,2023-03-01,2027-03-01,2023,4
00-0029585,2012,3.1945,2012-03-01,2017-03-01,2012,5
00-0032214,2016,0.750319,2015-03-01,2019-03-01,2015,4
00-0032127,2021,2.5,2021-03-01,2023-03-01,2021,2
00-0034427,2019,0.638495,2018-03-01,2022-03-01,2018,4
00-0033461,2024,1.495,2023-03-01,2025-03-01,2023,2
00-0028006,2012,0.75,2011-03-01,2015-03-01,2011,4
00-0039430,2027,1.027373,2024-03-01,2028-03-01,2024,4
00-0024239,2018,5.0,2018-03-01,2020-03-01,2018,2
00-0029308,2015,0.537358,2012-03-01,2016-03-01,2012,4
00-0032781,2019,0.585,2016-03-01,2020-03-01,2016,4
00-0036343,2025,1.17,2025-03-01,2026-03-01,2025,1
00-0040138,2028,1.616714,2025-03-01,2029-03-01,2025,4
00-0031601,2016,0.1173,2016-03-01,2017-03-01,2016,1
00-0027833,2015,0.555,2015-03-01,2017-03-01,2015,2
00-0030869,2021,1.04,2021-03-01,2022-03-01,2021,1
00-0030563,2016,0.755,2016-03-01,2017-03-01,2016,1
